CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2023-01-08 02:59:49.5385388,C:\Windows\System32\Tasks\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync,3596,92127DA370090047D6AE4E50EC8B30D0486660D5,False,2022-12-11 06:32:29.9862817,2023-01-08 01:03:29.7418493,2023-01-08 01:03:29.7418493,00:00:00
2023-01-08 02:59:49.5385388,C:\Windows\System32\Tasks\Microsoft\Windows\Input\LocalUserSyncDataAvailable,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Input\LocalUserSyncDataAvailable,2754,80139ADC9B2F0A43AD50DAF49E9A01231819615F,False,2022-12-11 06:32:29.8613121,2023-01-08 01:03:29.3512251,2023-01-08 01:03:29.3512251,00:00:00
2023-01-08 02:59:49.5385388,C:\Windows\System32\Tasks\Microsoft\Windows\Input\MouseSyncDataAvailable,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Input\MouseSyncDataAvailable,2738,D7A29967D29CA92FC633BFE1EA3C37F424689359,False,2022-12-11 06:32:29.6269319,2023-01-08 01:03:28.1637211,2023-01-08 01:03:28.1637211,00:00:00
2023-01-08 02:59:49.5541660,C:\Windows\System32\Tasks\Microsoft\Windows\Input\PenSyncDataAvailable,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Input\PenSyncDataAvailable,2730,10AEC7F20139978A93A9C11691D3C3D699F8C681,False,2022-12-11 06:32:29.8300182,2023-01-08 01:03:29.3043502,2023-01-08 01:03:29.3043502,00:00:00.0156272
2023-01-08 02:59:49.5541660,C:\Windows\System32\Tasks\Microsoft\Windows\Input\TouchpadSyncDataAvailable,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Input\TouchpadSyncDataAvailable,2750,C16319B4748E54ADA9C22D314733CED7883682FB,False,2022-12-11 06:32:29.9081666,2023-01-08 01:03:29.6168486,2023-01-08 01:03:29.6168486,00:00:00
2023-01-08 02:59:49.5541660,C:\Windows\System32\Tasks\Microsoft\Windows\InstallService\ScanForUpdates,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\InstallService\ScanForUpdates,3514,370961FFC879AFB880207F0C1A863A6C371E6AE7,False,2022-12-11 06:32:29.6581985,2023-01-08 01:03:28.4449747,2023-01-08 01:03:28.4449747,00:00:00
2023-01-08 02:59:49.5541660,C:\Windows\System32\Tasks\Microsoft\Windows\InstallService\ScanForUpdatesAsUser,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\InstallService\ScanForUpdatesAsUser,2656,6C9727FDF1F231237D5770FF7673FA3973CFAE46,False,2022-12-11 06:32:29.7988460,2023-01-08 01:03:29.2106014,2023-01-08 01:03:29.2106014,00:00:00
2023-01-08 02:59:49.5697898,C:\Windows\System32\Tasks\Microsoft\Windows\InstallService\SmartRetry,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\InstallService\SmartRetry,4678,280120EF80E58C5236A28020C0AC9319EEEFD5A6,False,2022-12-11 06:32:29.3925141,2023-01-08 01:03:27.6949722,2023-01-08 01:03:27.6949722,00:00:00.0156238
2023-01-08 02:59:49.5697898,C:\Windows\System32\Tasks\Microsoft\Windows\InstallService\WakeUpAndContinueUpdates,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\InstallService\WakeUpAndContinueUpdates,2572,4CD883ADA3F867138F50106F4989FA8B4EF0B751,False,2022-12-11 06:32:29.7988460,2023-01-08 01:03:29.2106014,2023-01-08 01:03:29.2106014,00:00:00
2023-01-08 02:59:49.5697898,C:\Windows\System32\Tasks\Microsoft\Windows\InstallService\WakeUpAndScanForUpdates,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\InstallService\WakeUpAndScanForUpdates,3028,AC42829DFE4D1126CC5B19FAC4275B92CBD17090,False,2022-12-11 06:32:29.9706655,2023-01-08 01:03:29.7105980,2023-01-08 01:03:29.7105980,00:00:00
2023-01-08 02:59:49.5697898,C:\Windows\System32\Tasks\Microsoft\Windows\International\Synchronize Language Settings,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\International\Synchronize Language Settings,3276,1BBB15A318DCEF1BB42B76873DF2E6E556502629,False,2022-12-11 06:32:29.4863143,2023-01-08 01:03:27.7730974,2023-01-08 01:03:27.7730974,00:00:00
2023-01-08 02:59:49.5697898,C:\Windows\System32\Tasks\Microsoft\Windows\LanguageComponentsInstaller\Installation,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\LanguageComponentsInstaller\Installation,3744,71FAA59686D550A2F6AEAD4DD0E254849C09C807,False,2022-12-11 06:32:29.5331709,2023-01-08 01:03:27.8043979,2023-01-08 01:03:27.8043979,00:00:00
2023-01-08 02:59:49.5854347,C:\Windows\System32\Tasks\Microsoft\Windows\LanguageComponentsInstaller\Uninstallation,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\LanguageComponentsInstaller\Uninstallation,3172,CA057253850C0E42DAEBEED3E7FD53E5B99E065F,False,2022-12-11 06:32:29.9237986,2023-01-08 01:03:29.6168486,2023-01-08 01:03:29.6168486,00:00:00
2023-01-08 02:59:49.5854347,C:\Windows\System32\Tasks\Microsoft\Windows\License Manager\TempSignedLicenseExchange,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\License Manager\TempSignedLicenseExchange,3340,653A4E91ED5D3951D7BC0439ABD4B90537B67AEC,False,2022-12-11 06:32:29.9862817,2023-01-08 01:03:29.7418493,2023-01-08 01:03:29.7418493,00:00:00
2023-01-08 02:59:49.5854347,C:\Windows\System32\Tasks\Microsoft\Windows\Location\Notifications,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Location\Notifications,2638,3479566BD5A26DAEE9141D9DBE4D3D584277C27D,False,2022-12-11 06:32:29.6581985,2023-01-08 01:03:28.7105951,2023-01-08 01:03:28.7105951,00:00:00
2023-01-08 02:59:49.5854347,C:\Windows\System32\Tasks\Microsoft\Windows\Location\WindowsActionDialog,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Location\WindowsActionDialog,2572,BA19268C10BB6FD9DBC39F57D4F54D8416C71620,False,2022-12-11 06:32:29.9081666,2023-01-08 01:03:29.5543475,2023-01-08 01:03:29.5543475,00:00:00
2023-01-08 02:59:49.6010380,C:\Windows\System32\Tasks\Microsoft\Windows\Maintenance\WinSAT,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Maintenance\WinSAT,3002,8AC8C56893ABEB11B1D52C329661429926E79587,False,2022-12-11 06:32:29.8300182,2023-01-08 01:03:29.3199733,2023-01-08 01:03:29.3199733,00:00:00
2023-01-08 02:59:49.6010380,C:\Windows\System32\Tasks\Microsoft\Windows\Maps\MapsToastTask,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Maps\MapsToastTask,3070,F5B80016DCDB8E9CA361F55D2A91F9FC6CC7D9AC,False,2022-12-11 06:32:30.0018975,2023-01-08 01:03:29.7574788,2023-01-08 01:03:29.7574788,00:00:00
2023-01-08 02:59:49.6010380,C:\Windows\System32\Tasks\Microsoft\Windows\Maps\MapsUpdateTask,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Maps\MapsUpdateTask,3474,29B98B7A84B8AB58DD2801B493F6C46A50C92E6F,False,2022-12-11 06:32:29.9862817,2023-01-08 01:03:29.7418493,2023-01-08 01:03:29.7418493,00:00:00
2023-01-08 02:59:49.6010380,C:\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,5744,B5AA79AC4C86EA70AA44E305A9BD77760902269C,False,2022-12-11 06:32:29.8300182,2023-01-08 01:03:29.3356012,2023-01-08 01:03:29.3356012,00:00:00
2023-01-08 02:59:49.6010380,C:\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic,3506,CE320E9DE13485AEFCA8BB7DE64955639AB93E17,False,2022-12-11 06:32:29.8925600,2023-01-08 01:03:29.5543475,2023-01-08 01:03:29.5543475,00:00:00
2023-01-08 02:59:49.6166619,C:\Windows\System32\Tasks\Microsoft\Windows\MUI\LPRemove,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\MUI\LPRemove,2726,077A7F28833839D6CAFF0DB9AD2CD80714939BEE,False,2022-12-11 06:32:29.8456472,2023-01-08 01:03:29.3512251,2023-01-08 01:03:29.3512251,00:00:00
2023-01-08 02:59:49.6166619,C:\Windows\System32\Tasks\Microsoft\Windows\Multimedia\SystemSoundsService,C:\logs\kape_out\C\Windows\System32\Tasks\Microsoft\Windows\Multimedia\SystemSoundsService,2634,1024F5BBBD9C698BF3B3B455462A55358C8AA059,False,2022-12-11 06:32:29.5331709,2023-01-08 01:03:27.8043979,2023-01-08 01:03:27.8043979,00:00:00
