[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PowerShell%4Admin.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PowerShell%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Privacy-Auditing%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Program-Compatibility-Assistant%4CompatAfterUpgrade.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PushNotification-Platform%4Admin.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-PushNotification-Platform%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RemoteDesktopServices-RdpCoreTS%4Admin.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RemoteDesktopServices-RdpCoreTS%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Resource-Exhaustion-Detector%4Operational.evtx due to IOException...
[2023-01-08 02:59:48.9916744 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-RestartManager%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0072980 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-DeploymentProvider%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0072980 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-MgmtProvider%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0072980 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-MultiMachine%4Admin.evtx due to IOException...
[2023-01-08 02:59:49.0072980 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-MultiMachine%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0072980 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-ConnectedAccountState%4ActionCenter.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4ActionCenter.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4AppDefaults.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4LogonTasksChannel.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-ShellCommon-StartLayoutPopulation%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Audit.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Connectivity.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBClient%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Security.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Audit.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Connectivity.evtx due to IOException...
[2023-01-08 02:59:49.0229238 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Security.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StateRepository%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StateRepository%4Restricted.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-Storport%4Health.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-Storport%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-Driver%4Diagnostic.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-Driver%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-ManagementAgent%4WHC.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Store%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Storsvc%4Diagnostic.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-Sysmon%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-SystemDataArchiver%4Diagnostic.evtx due to IOException...
[2023-01-08 02:59:49.0385469 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TaskScheduler%4Maintenance.evtx due to IOException...
[2023-01-08 02:59:49.0541716 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Admin.evtx due to IOException...
[2023-01-08 02:59:49.0541716 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx due to IOException...
[2023-01-08 02:59:49.0541716 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Admin.evtx due to IOException...
[2023-01-08 02:59:49.0541716 | INF]   Deferring C:\Windows\System32\winevt\logs\Microsoft-Windows-TerminalServices-RemoteConnectionManager%4Operational.evtx due to IOException...
